Zone,Category,Offers,Price_m2_med,Price_m2_mean,Price_med,Price_mean,Rooms_med,Diff,Zone_Level,Year,Month,Week,Zone_Catg,Inputs,Outputs,Keep,Inputs_pct,Outputs_pct,Keep_pct,Price_Up,Price_Down,Price_Keep
Chueca-Justicia,Fl15In1bLf,1,6667,6667,100000,100000,0.00,0.00,neighborhood,2021,M01,W01,,,,,,,,,,
Comillas,Fl35Ex1b,1,2775,2775,99900,99900,1.00,0.00,neighborhood,2021,M01,W01,,,,,,,,,,
Lucero,Fl25Ex1bBj,1,3167,3167,95000,95000,1.00,0.00,neighborhood,2021,M01,W01,,,,,,,,,,
Lucero,Fl45Ex1bBj,1,2321,2321,97500,97500,1.00,0.00,neighborhood,2021,M01,W01,,,,,,,,,,
Puerta Bonita,Fl35Ex1bBj,1,2909,2909,96000,96000,1.00,0.00,neighborhood,2021,M01,W01,,,,,,,,,,
Pilar,Fl25Ex1bLf,1,3827,3827,99500,99500,0.00,0.00,neighborhood,2021,M01,W01,,,,,,,,,,
Palomeras Bajas,Fl65Ex1bLf,1,1460,1460,92000,92000,3.00,0.00,neighborhood,2021,M01,W01,,,,,,,,,,
Palomeras Bajas,Fl75Ex1bBj,1,792,792,61000,61000,3.00,0.00,neighborhood,2021,M01,W01,,,,,,,,,,
Palomeras Bajas,Fl95In2bBj,1,957,957,91907,91907,1.00,0.00,neighborhood,2021,M01,W01,,,,,,,,,,
Palomeras sureste,Fl25Ex1b,1,2160,2160,64800,64800,1.00,0.00,neighborhood,2021,M01,W01,,,,,,,,,,
Palomeras sureste,Fl25Ex1bBj,1,2321,2321,65000,65000,0.00,0.00,neighborhood,2021,M01,W01,,,,,,,,,,
Palomeras sureste,Fl25In1b,1,2333,2333,70000,70000,1.00,0.00,neighborhood,2021,M01,W01,,,,,,,,,,
Palomeras sureste,Fl35Ex1bBj,1,1919,1919,71000,71000,1.00,0.00,neighborhood,2021,M01,W01,,,,,,,,,,
Aluche,Fl45In1bBj,1,1989,1989,89500,89500,2.00,0.00,neighborhood,2021,M01,W01,,,,,,,,,,
Palomeras sureste,Fl55Ex1bLf,1,1417,1417,85000,85000,2.00,0.00,neighborhood,2021,M01,W01,,,,,,,,,,
Palomeras sureste,Fl65In1b,1,1508,1508,98000,98000,3.00,0.00,neighborhood,2021,M01,W01,,,,,,,,,,
Palos de Moguer,Fl35In1b,1,2632,2632,100000,100000,0.00,0.00,neighborhood,2021,M01,W01,,,,,,,,,,
Pinar del Rey,Fl25Ex1bBj,1,3267,3267,98000,98000,0.00,0.00,neighborhood,2021,M01,W01,,,,,,,,,,
Lucero,Fl45In1b,1,2321,2321,97500,97500,1.00,0.00,neighborhood,2021,M01,W01,,,,,,,,,,
Pinar del Rey,Fl35In1b,1,2474,2474,94000,94000,1.00,0.00,neighborhood,2021,M01,W01,,,,,,,,,,
Pinar del Rey,Fl35In1bBj,1,2474,2474,94000,94000,1.00,0.00,neighborhood,2021,M01,W01,,,,,,,,,,
Aluche,Fl45In1b,1,1989,1989,89500,89500,2.00,0.00,neighborhood,2021,M01,W01,,,,,,,,,,
Berruguete,Fl35Ex1bBj,1,2970,2970,98000,98000,1.00,0.00,neighborhood,2021,M01,W01,,,,,,,,,,
Portazgo,Fl65Ex1bLf,1,884,884,61000,61000,3.00,0.00,neighborhood,2021,M01,W01,,,,,,,,,,
Portazgo,Fl65In1bBj,1,1623,1623,99000,99000,2.00,0.00,neighborhood,2021,M01,W01,,,,,,,,,,
Pradolongo,Fl45Ex1b,1,2302,2302,99000,99000,2.00,0.00,neighborhood,2021,M01,W01,,,,,,,,,,
Pradolongo,Fl45Ex1bBj,1,2045,2045,90000,90000,2.00,0.00,neighborhood,2021,M01,W01,,,,,,,,,,
Pradolongo,Fl65Ex1b,1,1219,1219,78000,78000,2.00,0.00,neighborhood,2021,M01,W01,,,,,,,,,,
Pradolongo,Fl75Ex1bBj,1,920,920,69000,69000,2.00,0.00,neighborhood,2021,M01,W01,,,,,,,,,,
Pueblo Nuevo,Fl25Ex1bBj,1,3300,3300,99000,99000,1.00,0.00,neighborhood,2021,M01,W01,,,,,,,,,,
Palomeras Bajas,Fl65Ex1b,1,1613,1613,100000,100000,2.00,0.00,neighborhood,2021,M01,W01,,,,,,,,,,
Palomeras Bajas,Fl55In1b,1,1375,1375,77000,77000,3.00,0.00,neighborhood,2021,M01,W01,,,,,,,,,,
12 de Octubre-Orcasur,Fl45In1b,1,2143,2143,90000,90000,1.00,0.00,neighborhood,2021,M01,W01,,,,,,,,,,
Palomeras Bajas,Fl45In1b,1,1890,1890,94500,94500,2.00,0.00,neighborhood,2021,M01,W01,,,,,,,,,,
Lucero,Fl55In2b,1,1593,1593,94000,94000,1.00,0.00,neighborhood,2021,M01,W01,,,,,,,,,,
Malasaña-Universidad,Fl15Ex1bBj,1,4250,4250,85000,85000,0.00,0.00,neighborhood,2021,M01,W01,,,,,,,,,,
Moscardo,Fl45Ex1bLf,1,2302,2302,99000,99000,2.00,0.00,neighborhood,2021,M01,W01,,,,,,,,,,
Moscardo,Fl55Ex1b,1,1904,1904,99000,99000,2.00,0.00,neighborhood,2021,M01,W01,,,,,,,,,,
Numancia,Fl25In1bBj,1,2263,2263,67900,67900,1.00,0.00,neighborhood,2021,M01,W01,,,,,,,,,,
Ambroz,Fl55Ex1b,1,1754,1754,100000,100000,3.00,0.00,neighborhood,2021,M01,W01,,,,,,,,,,
Ambroz,Fl45Ex1b,1,2089,2089,94000,94000,1.00,0.00,neighborhood,2021,M01,W01,,,,,,,,,,
Numancia,Fl35In1b,1,1975,1975,79000,79000,1.00,0.00,neighborhood,2021,M01,W01,,,,,,,,,,
Numancia,Fl35In1bBj,1,2257,2257,79000,79000,1.00,0.00,neighborhood,2021,M01,W01,,,,,,,,,,
Numancia,Fl45In1bBj,1,2152,2152,99000,99000,2.00,0.00,neighborhood,2021,M01,W01,,,,,,,,,,
Aluche,Fl75In1b,1,1250,1250,90000,90000,2.00,0.00,neighborhood,2021,M01,W01,,,,,,,,,,
Numancia,Fl65Ex1bBj,1,1431,1431,93000,93000,1.00,0.00,neighborhood,2021,M01,W01,,,,,,,,,,
Numancia,Fl65In1bBj,1,1431,1431,93000,93000,2.00,0.00,neighborhood,2021,M01,W01,,,,,,,,,,
Numancia,Fl75In1b,1,1234,1234,95000,95000,3.00,0.00,neighborhood,2021,M01,W01,,,,,,,,,,
Pacifico,Fl35Ex1bLf,1,2611,2611,94000,94000,2.00,0.00,neighborhood,2021,M01,W01,,,,,,,,,,
Palacio,Fl15In1b,1,6714,6714,94000,94000,1.00,0.00,neighborhood,2021,M01,W01,,,,,,,,,,
Palacio,Fl15In1bBj,1,5263,5263,100000,100000,2.00,0.00,neighborhood,2021,M01,W01,,,,,,,,,,
Palacio,Fl15In2b,1,5000,5000,100000,100000,1.00,0.00,neighborhood,2021,M01,W01,,,,,,,,,,
Palacio,Fl25Ex1bBj,1,4500,4500,99000,99000,1.00,0.00,neighborhood,2021,M01,W01,,,,,,,,,,
Palomeras Bajas,Fl35Ex1bBj,1,1969,1969,63000,63000,2.00,0.00,neighborhood,2021,M01,W01,,,,,,,,,,
Palomeras Bajas,Fl35In1bBj,1,3000,3000,99000,99000,0.00,0.00,neighborhood,2021,M01,W01,,,,,,,,,,
Aluche,Fl65Ex1b,1,1357,1357,95000,95000,2.00,0.00,neighborhood,2021,M01,W01,,,,,,,,,,
Palomeras Bajas,Fl45Ex1bLfBj,1,1913,1913,88000,88000,0.00,0.00,neighborhood,2021,M01,W01,,,,,,,,,,
Zofio,Fl75Ex1b,1,958,958,68000,68000,2.00,0.00,neighborhood,2021,M01,W01,,,,,,,,,,
Madrid,,517,1700,1874,92480,90240,,0.00,municipality,2021,M01,W01,Madrid,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,517.00
Puente de Vallecas,Fl55Ex1b,29,1635,1642,93000,93038,2.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,29.00
Villaverde,Fl55Ex1b,28,1500,1482,85500,85256,2.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,28.00
Villaverde,Fl65Ex1b,27,1377,1370,89900,89720,3.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,27.00
San Blas,Fl55Ex1b,15,1737,1728,95000,94886,2.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,15.00
Puente de Vallecas,Fl45Ex1b,14,1865,1872,90450,87550,2.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,14.00
Puente de Vallecas,Fl65Ex1b,13,1403,1414,94000,92934,3.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,13.00
San Blas,Fl45Ex1b,12,1940,1924,95500,92575,2.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,12.00
Villaverde,Fl75Ex1b,9,1240,1197,93000,89448,3.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,9.00
Villaverde,Fl55Ex1bBj,8,1569,1533,88000,89855,2.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,8.00
Carabanchel,Fl55Ex1b,8,1778,1754,96000,96612,1.50,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,8.00
Carabanchel,Fl55In1b,8,1704,1655,89450,89101,2.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,8.00
Puente de Vallecas,Fl75Ex1b,8,1241,1251,96500,95000,3.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,8.00
Puente de Vallecas,Fl45Ex1bBj,8,1874,1789,89000,86812,2.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,8.00
Villaverde,Fl55In1b,7,1500,1442,88000,82428,3.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,7.00
Tetuan,Fl25In1bBj,7,3333,3554,91200,93385,1.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,7.00
Villaverde,Fl65Ex1bLf,7,1383,1326,89900,89780,3.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,7.00
Villa de Vallecas,Fl45Ex1bLf,6,1929,1962,96000,96150,1.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,6.00
Villaverde,Fl75In1b,6,1228,1236,94500,94500,3.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,6.00
Puente de Vallecas,Fl35Ex1bBj,6,2295,2249,85000,82416,1.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,6.00
Puente de Vallecas,Fl55In1b,5,1573,1599,89900,88780,2.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,5.00
Puente de Vallecas,Fl45In1b,5,1778,1747,80000,83179,2.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,5.00
Usera,Fl55Ex1b,5,1690,1714,98000,96780,2.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,5.00
Puente de Vallecas,Fl65In1b,5,1460,1434,93000,92600,2.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,5.00
Puente de Vallecas,Fl35Ex1b,5,2350,2346,87000,86700,1.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,5.00
Villaverde,Fl65In1b,5,1391,1326,89000,87363,3.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,5.00
Usera,Fl45Ex1b,5,2143,2146,90000,93800,1.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,5.00
Villa de Vallecas,Fl55Ex1b,5,1667,1679,99000,95300,2.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,5.00
Puente de Vallecas,Fl55Ex1bBj,4,1497,1495,80500,82475,2.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,4.00
Carabanchel,Fl35Ex1bBj,4,2337,2344,86500,84750,1.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,4.00
Centro,Fl15In1b,4,5333,5582,95999,96249,0.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,4.00
Carabanchel,Fl45Ex1b,4,2236,2239,99500,98500,1.50,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,4.00
Puente de Vallecas,Fl65Ex1bLf,4,1410,1291,93837,86918,3.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,4.00
Villaverde,Fl65Ex1bBj,4,1342,1349,86450,87775,2.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,4.00
San Blas,Fl45Ex1bBj,4,1920,1957,93000,93222,2.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,4.00
Usera,Fl55Ex1bBj,3,1514,1546,78750,84583,2.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,3.00
Villa de Vallecas,Fl45Ex1b,3,1900,1925,95000,95633,2.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,3.00
Villa de Vallecas,Fl55Ex1bLf,3,1765,1775,90000,92333,0.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,3.00
Latina,Fl45In1b,3,1989,2087,91700,92900,2.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,3.00
San Blas,Fl45In1b,3,2015,1998,94000,91866,2.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,3.00
Latina,Fl65Ex1b,3,1284,1261,86000,87000,3.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,3.00
Usera,Fl45Ex1bBj,3,2045,1988,90000,86166,2.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,3.00
Tetuan,Fl25In1b,3,3442,3304,89500,89966,1.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,3.00
Puente de Vallecas,Fl45Ex1bLf,3,2130,1889,98000,88333,1.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,3.00
Latina,Fl35In1b,3,3078,3122,98500,98833,2.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,3.00
Puente de Vallecas,Fl45In1bBj,3,1978,2019,89000,91566,2.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,3.00
Puente de Vallecas,Fl65Ex1bBj,3,1431,1406,94000,93666,2.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,3.00
Latina,Fl45Ex1bBj,3,1750,1857,84000,85500,1.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,3.00
Villa de Vallecas,Fl45Ex1bBj,3,1979,1886,95000,91666,2.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,3.00
Latina,Fl35Ex1bBj,3,1900,1993,76000,79000,1.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,3.00
Villaverde,Fl45Ex1b,3,1760,1801,88000,83500,1.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,3.00
Villa de Vallecas,Fl65Ex1b,3,1581,1492,98000,95933,3.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,3.00
Carabanchel,Fl45In1b,3,1957,2035,95890,96630,2.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,3.00
Carabanchel,Fl55Ex1bBj,3,1618,1643,89000,90833,2.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,3.00
Latina,Fl35Ex1bLf,2,2651,2651,96750,96750,0.50,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,2.00
Carabanchel,Fl65In1b,2,1253,1253,84679,84679,2.50,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,2.00
Centro,Fl25In1b,2,3280,3280,82000,82000,0.50,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,2.00
Villaverde,Fl55Ex1bLf,2,1623,1623,97400,97400,2.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,2.00
Puente de Vallecas,Fl55Ex1bLf,2,1526,1526,87500,87500,1.50,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,2.00
Villaverde,Fl55In1bBj,2,1585,1585,88000,88000,2.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,2.00
Usera,Fl55In1bBj,2,1684,1684,90500,90500,1.50,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,2.00
Usera,Fl55In1b,2,1768,1768,99000,99000,2.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,2.00
Carabanchel,Fl85Ex1b,2,1042,1042,89500,89500,3.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,2.00
Carabanchel,Fl75Ex1b,2,1122,1122,81950,81950,2.50,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,2.00
Puente de Vallecas,Fl65In1bBj,2,1527,1527,96000,96000,2.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,2.00
Usera,Fl45In1b,2,2136,2136,94000,94000,1.50,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,2.00
Puente de Vallecas,Fl75Ex1bBj,2,1005,1005,75000,75000,3.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,2.00
Villaverde,Fl45In1b,2,1655,1655,77000,77000,2.50,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,2.00
Puente de Vallecas,Fl85Ex2b,2,1113,1113,93520,93520,3.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,2.00
Carabanchel,Fl45In1bBj,2,2251,2251,99000,99000,1.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,2.00
Carabanchel,Fl45Ex1bBj,2,2022,2022,94000,94000,1.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,2.00
San Blas,Fl45Ex1bLfBj,2,2189,2189,94175,94175,1.50,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,2.00
Usera,Fl35In1bBj,2,2188,2188,74000,74000,1.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,2.00
Carabanchel,Fl35Ex1b,2,2637,2637,99949,99949,1.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,2.00
San Blas,Fl55Ex1bBj,2,1695,1695,95000,95000,2.50,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,2.00
San Blas,Fl55In1b,2,1658,1658,91400,91400,2.50,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,2.00
Usera,Fl35Ex1b,2,2931,2931,97950,97950,1.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,2.00
Carabanchel,Fl25In1bBj,2,2981,2981,81150,81150,1.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,2.00
Ciudad Lineal,Fl25Ex1bBj,2,3300,3300,99000,99000,0.50,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,2.00
Tetuan,Fl35Ex1bBj,2,2710,2710,98000,98000,1.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,2.00
Puente de Vallecas,Fl25Ex1bBj,2,2933,2933,71500,71500,0.50,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,2.00
Latina,Fl65Ex1bLfBj,2,1523,1523,99000,99000,3.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,2.00
Latina,Fl75Ex1b,2,1200,1200,90000,90000,2.50,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,2.00
Hortaleza,Fl35Ex1bBj,2,2693,2693,99000,99000,0.50,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,2.00
Puente de Vallecas,Fl35In1bBj,2,2628,2628,89000,89000,0.50,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,2.00
Villa de Vallecas,Fl35Ex1bLfBj,2,2105,2105,80000,80000,1.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,2.00
Puente de Vallecas,Fl35Ex1bLf,2,2337,2337,93500,93500,1.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,2.00
Vicalvaro,Fl55In1b,2,1754,1754,100000,100000,3.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,2.00
Puente de Vallecas,Fl25In1bBj,2,2379,2379,68900,68900,1.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,2.00
Villaverde,Fl65In1bBj,1,1331,1331,81200,81200,2.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,1.00
Villa de Vallecas,Fl65In1bBj,1,1491,1491,99900,99900,2.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,1.00
Villa de Vallecas,Fl45Ex1bLfBj,1,2270,2270,99900,99900,1.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,1.00
Villa de Vallecas,Fl45In1b,1,1980,1980,99000,99000,2.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,1.00
Villaverde,Fl45Ex1bLfBj,1,1771,1771,85000,85000,1.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,1.00
Villa de Vallecas,Fl65Ex1bLf,1,1370,1370,95900,95900,1.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,1.00
Villaverde,Fl35Ex1bBj,1,2139,2139,81300,81300,1.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,1.00
Villa de Vallecas,Fl55Ex1bBj,1,1961,1961,100000,100000,3.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,1.00
Villa de Vallecas,Fl55In1b,1,1885,1885,98000,98000,2.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,1.00
Usera,Fl35In1b,1,2125,2125,85000,85000,1.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,1.00
Villa de Vallecas,Fl55Ex2bLf,1,1707,1707,99000,99000,1.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,1.00
Villa de Vallecas,Fl55Ex1bLfBj,1,1473,1473,82500,82500,0.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,1.00
Villaverde,Fl85Ex1b,1,1112,1112,99000,99000,2.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,1.00
Tetuan,Fl55Ex1bBj,1,1466,1466,85000,85000,1.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,1.00
Tetuan,Fl45Ex1bLfBj,1,2379,2379,99900,99900,1.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,1.00
Villaverde,Fl65Ex1bLfBj,1,1397,1397,95000,95000,3.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,1.00
Usera,Fl45Ex1bLf,1,2302,2302,99000,99000,2.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,1.00
Usera,Fl45Ex1bLfBj,1,2314,2314,99500,99500,2.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,1.00
Usera,Fl65Ex1bLfBj,1,1474,1474,89900,89900,1.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,1.00
Vicalvaro,Fl55Ex1bBj,1,1509,1509,83000,83000,1.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,1.00
Vicalvaro,Fl55Ex1b,1,1754,1754,100000,100000,3.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,1.00
Vicalvaro,Fl45Ex1b,1,2089,2089,94000,94000,1.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,1.00
Villaverde,Fl55In1bLfBj,1,1158,1158,66000,66000,3.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,1.00
Villaverde,Fl55In1bLf,1,1212,1212,70300,70300,1.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,1.00
Usera,Fl75Ex1bBj,1,920,920,69000,69000,2.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,1.00
Usera,Fl65Ex1b,1,1219,1219,78000,78000,2.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,1.00
Villaverde,Fl35In1b,1,2219,2219,71000,71000,0.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,1.00
Usera,Fl75Ex1b,1,958,958,68000,68000,2.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,1.00
Villaverde,Fl45In1bLf,1,1891,1891,81300,81300,1.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,1.00
Villaverde,Fl45In1bBj,1,1891,1891,81300,81300,1.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,1.00
Usera,Fl65Ex1bLf,1,1508,1508,95000,95000,2.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,1.00
Usera,Fl65Ex1bBj,1,1476,1476,93000,93000,2.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,1.00
Arganzuela,Fl15In1bLf,1,5500,5500,99000,99000,1.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,1.00
Tetuan,Fl35In1bBj,1,2829,2829,99000,99000,1.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,1.00
Centro,Fl25Ex1bBj,1,4500,4500,99000,99000,1.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,1.00
Latina,Fl35Ex1b,1,3078,3078,98500,98500,1.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,1.00
Latina,Fl25In1bBj,1,3333,3333,100000,100000,1.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,1.00
Latina,Fl25Ex1bBj,1,3167,3167,95000,95000,1.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,1.00
Hortaleza,Fl35In1bBj,1,2474,2474,94000,94000,1.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,1.00
Hortaleza,Fl35In1b,1,2474,2474,94000,94000,1.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,1.00
Hortaleza,Fl25Ex1bBj,1,3267,3267,98000,98000,0.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,1.00
Fuencarral,Fl55Ex1bBj,1,1727,1727,95000,95000,0.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,1.00
Fuencarral,Fl35Ex1bBj,1,2143,2143,75000,75000,0.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,1.00
Fuencarral,Fl25Ex1bLf,1,3827,3827,99500,99500,0.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,1.00
Ciudad Lineal,Fl25In1bLfBj,1,2467,2467,74000,74000,1.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,1.00
Centro,Fl75In1bLf,1,1254,1254,89000,89000,2.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,1.00
Centro,Fl35In1bLfBj,1,3194,3194,99000,99000,1.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,1.00
Centro,Fl25In1bBj,1,2983,2983,89500,89500,2.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,1.00
Centro,Fl15In2b,1,5000,5000,100000,100000,1.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,1.00
Latina,Fl45Ex1bLfBj,1,2111,2111,95000,95000,1.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,1.00
Centro,Fl15In1bLf,1,6667,6667,100000,100000,0.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,1.00
Centro,Fl15In1bBj,1,5263,5263,100000,100000,2.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,1.00
Centro,Fl15Ex1bLf,1,4450,4450,89000,89000,1.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,1.00
Centro,Fl15Ex1bBj,1,4250,4250,85000,85000,0.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,1.00
Carabanchel,Fl95Ex1b,1,900,900,90000,90000,3.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,1.00
Carabanchel,Fl75In2bBj,1,1186,1186,94900,94900,3.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,1.00
Carabanchel,Fl65Ex1bBj,1,1302,1302,82000,82000,3.00,0.00,district,2021,M01,W01,,,,,,,,0.00,0.00,1.00
