Titulo,Segmento,Etiqueta,Periodo,Anyo,Valor,Unidad,Escala
Demanda Hipotecas,Google,Busquedas,M02,2021,31757,Busquedas,Unidad
Demanda Hipotecas,Google,Busquedas,M01,2021,25968,Busquedas,Unidad
