Address,Bathrooms,Category,District,Externalreference,Floor,Floor_int,Has_Lift,Has_Parking,Id,Inputs,Is_Ext,Is_New,Keeps,Latitude,Longitude,Municipality,Neighborhood,Operation,Outputs,Price,Price_Diff,Price_Diff_pc,Price_Distr,Price_Down,Price_Keep,Price_Neighb,Price_Old,Price_Up,Price_m2,Price_m2_Distr,Price_m2_Distr_Diff_pc,Price_m2_Neighb,Price_m2_Neighb_Diff_pc,Province,Rooms,Size,Size_Interval,Status,Sub_Type,Subtitle,Title,Total,Type,Url,Fecha
Avenida de San Diego,1.00,Fl75Ex1b,Puente de Vallecas,AISD-348,3,alt,False,False,85084992,0,True,False,1,40.3862498,-3.6678384,Madrid,San Diego,sale,0,99000.00,0,0.00,90000.00,0,1,89700.00,99000.00,0,1238.00,1659.00,-25.40,1716.00,-27.90,Madrid,2.00,80.00,"(70, 80]",good,flat,"San Diego, Madrid",Piso en Avenida de San Diego,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/85084992/"", ""https://www.idealista.com/inmueble/85084992/"")",2021-01-18
Calle Puerto de Alcolea,1.00,Fl45Ex1bBj,Puente de Vallecas,A/A378,bj,bj,False,False,90874648,0,True,False,1,40.3952742,-3.6651306,Madrid,San Diego,sale,0,68000.00,0,0.00,90000.00,0,1,89700.00,68000.00,0,1511.00,1659.00,-8.90,1716.00,-11.90,Madrid,1.00,45.00,"(40, 50]",good,flat,"San Diego, Madrid",Piso en Calle Puerto de Alcolea,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/90874648/"", ""https://www.idealista.com/inmueble/90874648/"")",2021-01-18
Calle de Paterna,1.00,Fl75Ex1b,Villaverde,S470-P,3,alt,False,False,90982316,0,True,False,1,40.3443549,-3.6841491,Madrid,San Cristobal,sale,0,94990.00,0,0.00,88750.00,0,1,84900.00,94990.00,0,1267.00,1428.00,-11.30,1286.00,-1.50,Madrid,2.00,75.00,"(70, 80]",good,flat,"San Cristobal, Madrid",Piso en Calle de Paterna,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/90982316/"", ""https://www.idealista.com/inmueble/90982316/"")",2021-01-18
Calle de la Oca,1.00,Fl55Ex1b,Carabanchel,OCA,4,alt,False,False,91727916,0,True,False,1,40.3869603,-3.7403242,Madrid,Vista Alegre,sale,0,96000.00,0,0.00,95000.00,0,1,95000.00,96000.00,0,1778.00,1778.00,0.00,1678.00,6.00,Madrid,1.00,54.00,"(50, 60]",good,flat,"Vista Alegre, Madrid",Piso en Calle de la Oca,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/91727916/"", ""https://www.idealista.com/inmueble/91727916/"")",2021-01-18
Calle la oca,1.00,Fl55Ex1b,Carabanchel,0,4,alt,False,False,91732797,0,True,False,1,40.3904527,-3.739324,Madrid,Vista Alegre,sale,0,96000.00,0,0.00,95000.00,0,1,95000.00,96000.00,0,1778.00,1778.00,0.00,1678.00,6.00,Madrid,1.00,54.00,"(50, 60]",good,flat,"Vista Alegre, Madrid",Piso en Calle la oca,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/91732797/"", ""https://www.idealista.com/inmueble/91732797/"")",2021-01-18
barrio San Diego,1.00,Fl45Ex1bLf,Puente de Vallecas,101029-4,1,alt,True,False,92169289,0,True,False,1,40.3916296,-3.6655827,Madrid,San Diego,sale,0,98000.00,0,0.00,90000.00,0,1,89700.00,98000.00,0,2130.00,1659.00,28.40,1716.00,24.10,Madrid,1.00,46.00,"(40, 50]",good,flat,"San Diego, Madrid",Piso,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/92169289/"", ""https://www.idealista.com/inmueble/92169289/"")",2021-01-18
barrio Palomeras sureste,1.00,Fl25In1b,Puente de Vallecas,RP13202078122,0,alt,False,False,92134466,0,False,False,1,40.3891275,-3.6453748,Madrid,Palomeras sureste,sale,0,70000.00,0,0.00,90000.00,0,1,75000.00,70000.00,0,2333.00,1659.00,40.60,1919.00,21.60,Madrid,1.00,30.00,"(20, 30]",good,flat,"Palomeras sureste, Madrid",Piso,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/92134466/"", ""https://www.idealista.com/inmueble/92134466/"")",2021-01-18
Calle Ruidera,1.00,Fl65Ex1b,Puente de Vallecas,RP17201964470,3,alt,False,False,87781618,0,True,False,1,40.3804685,-3.6748484,Madrid,Entrevias,sale,0,97300.00,0,0.00,90000.00,0,1,94000.00,97300.00,0,1390.00,1659.00,-16.20,1424.00,-2.40,Madrid,3.00,70.00,"(60, 70]",good,flat,"Entrevias, Madrid",Piso en Calle Ruidera,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/87781618/"", ""https://www.idealista.com/inmueble/87781618/"")",2021-01-18
Calle Eulalia Paino,1.00,Fl55Ex1bBj,Carabanchel,0,bj,bj,False,False,86306409,0,True,False,1,40.3818575,-3.729629,Madrid,Abrantes,sale,0,84500.00,0,0.00,95000.00,0,1,95900.00,84500.00,0,1408.00,1778.00,-20.80,1743.00,-19.20,Madrid,2.00,60.00,"(50, 60]",good,flat,"Abrantes, Madrid",Piso en Calle Eulalia Paino,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/86306409/"", ""https://www.idealista.com/inmueble/86306409/"")",2021-01-18
Calle de Cardeñosa,1.00,Fl65Ex1b,Puente de Vallecas,RP17202073481,4,alt,False,False,90822792,0,True,False,1,40.3831905,-3.6723758,Madrid,Entrevias,sale,0,87500.00,0,0.00,90000.00,0,1,94000.00,87500.00,0,1346.00,1659.00,-18.90,1424.00,-5.50,Madrid,3.00,65.00,"(60, 70]",good,flat,"Entrevias, Madrid",Piso en Calle de Cardeñosa,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/90822792/"", ""https://www.idealista.com/inmueble/90822792/"")",2021-01-18
Calle Maria Antonia,1.00,Fl55Ex1b,Usera,RP83202076581,2,alt,False,False,91678300,0,True,False,1,40.3870436,-3.7104512,Madrid,Moscardo,sale,0,99000.00,0,0.00,90000.00,0,1,89900.00,99000.00,0,1904.00,1768.00,7.70,1889.00,0.80,Madrid,2.00,52.00,"(50, 60]",good,flat,"Moscardo, Madrid",Piso en Calle Maria Antonia,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/91678300/"", ""https://www.idealista.com/inmueble/91678300/"")",2021-01-18
Calle Falcinelo,1.00,Fl55Ex1bBj,Carabanchel,J430-P,bj,bj,False,False,90315427,0,True,False,1,40.3801479,-3.7305161,Madrid,Puerta Bonita,sale,0,99000.00,0,0.00,95000.00,0,1,96000.00,99000.00,0,1904.00,1778.00,7.10,1782.00,6.80,Madrid,2.00,52.00,"(50, 60]",good,flat,"Puerta Bonita, Madrid",Piso en Calle Falcinelo,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/90315427/"", ""https://www.idealista.com/inmueble/90315427/"")",2021-01-18
Calle Eduardo Minguito,1.00,Fl55Ex1bBj,Villaverde,rosales-,bj,bj,False,False,92349562,0,True,False,1,40.3467575,-3.6880116,Madrid,Los Rosales,sale,0,89000.00,0,0.00,88750.00,0,1,90750.00,89000.00,0,1712.00,1428.00,19.90,1565.50,9.40,Madrid,1.00,52.00,"(50, 60]",good,flat,"Los Rosales, Madrid",Piso en Calle Eduardo Minguito,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/92349562/"", ""https://www.idealista.com/inmueble/92349562/"")",2021-01-18
Calle Sierra Morena,1.00,Fl55Ex1bBj,Villa de Vallecas,1416/382,bj,bj,False,False,90911419,0,True,False,1,40.3777415,-3.6229289,Madrid,Casco Historico de Vallecas,sale,0,88000.00,0,0.00,97000.00,0,1,97500.00,88000.00,0,1467.00,1850.00,-20.70,1881.50,-22.00,Madrid,2.00,60.00,"(50, 60]",good,flat,"Casco Historico de Vallecas, Madrid",Piso en Calle Sierra Morena,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/90911419/"", ""https://www.idealista.com/inmueble/90911419/"")",2021-01-18
"Paseo Perales, 45",1.00,Fl35Ex1bBj,Latina,0,bj,bj,False,False,92285276,0,True,False,1,40.4049386,-3.7405534,Madrid,Puerta del Angel,sale,0,85000.00,0,0.00,95000.00,0,1,95500.00,85000.00,0,2179.00,1907.00,14.30,2187.00,-0.40,Madrid,1.00,39.00,"(30, 40]",good,flat,"Puerta del Angel, Madrid","Piso en Paseo Perales, 45",15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/92285276/"", ""https://www.idealista.com/inmueble/92285276/"")",2021-01-18
Calle Algaba,1.00,Fl35Ex1b,Carabanchel,RP30202072810,0,alt,False,False,90632573,0,True,False,1,40.389971,-3.7376579,Madrid,San Isidro,sale,0,99999.00,0,0.00,95000.00,0,1,90000.00,99999.00,0,2500.00,1778.00,40.60,2052.50,21.80,Madrid,1.00,40.00,"(30, 40]",good,flat,"San Isidro, Madrid",Piso en Calle Algaba,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/90632573/"", ""https://www.idealista.com/inmueble/90632573/"")",2021-01-18
barrio San Andres,1.00,Fl55Ex1b,Villaverde,804,2,alt,False,False,91373026,0,True,False,1,40.3447021,-3.7144467,Madrid,San Andres,sale,0,89900.00,0,0.00,88750.00,0,1,89950.00,89900.00,0,1498.00,1428.00,4.90,1458.00,2.70,Madrid,2.00,60.00,"(50, 60]",good,flat,"San Andres, Madrid",Piso,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/91373026/"", ""https://www.idealista.com/inmueble/91373026/"")",2021-01-18
Calle de las Modistas,1.00,Fl45Ex1b,San Blas,RL99,1,alt,False,False,91533868,0,True,False,1,40.4269044,-3.6214413,Madrid,Amposta,sale,0,85000.00,0,0.00,95000.00,0,1,90000.00,85000.00,0,1889.00,1827.00,3.40,1800.00,4.90,Madrid,2.00,45.00,"(40, 50]",good,flat,"Amposta, Madrid",Piso en Calle de las Modistas,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/91533868/"", ""https://www.idealista.com/inmueble/91533868/"")",2021-01-18
Calle Fotografia,1.00,Fl45Ex1bBj,San Blas,Tecnocasa Estudio Amposta - 674919342,bj,bj,False,False,91592107,0,True,False,1,40.4262214,-3.6216171,Madrid,Amposta,sale,0,92000.00,0,0.00,95000.00,0,1,90000.00,92000.00,0,1840.00,1827.00,0.70,1800.00,2.20,Madrid,3.00,50.00,"(40, 50]",good,flat,"Amposta, Madrid",Piso en Calle Fotografia,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/91592107/"", ""https://www.idealista.com/inmueble/91592107/"")",2021-01-18
Calle Pradales s/n,1.00,Fl35Ex1bLf,Latina,0,en,alt,True,False,91243784,0,True,False,1,40.4027463,-3.7480451,Madrid,Lucero,sale,0,96000.00,0,0.00,95000.00,0,1,96750.00,96000.00,0,2595.00,1907.00,36.10,2321.00,11.80,Madrid,1.00,37.00,"(30, 40]",good,flat,"Lucero, Madrid",Piso en Calle Pradales s/n,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/91243784/"", ""https://www.idealista.com/inmueble/91243784/"")",2021-01-18
Calle Silleria,1.00,Fl45Ex1b,San Blas,DAN2,4,alt,False,False,90263507,0,True,False,1,40.4228353,-3.6208211,Madrid,Amposta,sale,0,89000.00,0,0.00,95000.00,0,1,90000.00,89000.00,0,1780.00,1827.00,-2.60,1800.00,-1.10,Madrid,2.00,50.00,"(40, 50]",good,flat,"Amposta, Madrid",Piso en Calle Silleria,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/90263507/"", ""https://www.idealista.com/inmueble/90263507/"")",2021-01-18
Calle Maquileros,1.00,Fl55Ex1b,San Blas,RL5,2,alt,False,False,90870714,0,True,False,1,40.4238346,-3.6245994,Madrid,Amposta,sale,0,80000.00,0,0.00,95000.00,0,1,90000.00,80000.00,0,1538.00,1827.00,-15.80,1800.00,-14.60,Madrid,2.00,52.00,"(50, 60]",good,flat,"Amposta, Madrid",Piso en Calle Maquileros,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/90870714/"", ""https://www.idealista.com/inmueble/90870714/"")",2021-01-18
barrio Amposta,1.00,Fl45Ex1b,San Blas,RP49202066457,0,alt,False,False,88373789,0,True,False,1,40.4292438,-3.6207552,Madrid,Amposta,sale,0,98000.00,0,0.00,95000.00,0,1,90000.00,98000.00,0,1960.00,1827.00,7.30,1800.00,8.90,Madrid,2.00,50.00,"(40, 50]",good,flat,"Amposta, Madrid",Piso,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/88373789/"", ""https://www.idealista.com/inmueble/88373789/"")",2021-01-18
"Calle de Beniferri, 61",1.00,Fl65Ex1b,Villaverde,1802/83,4,alt,False,False,92353439,0,True,False,1,40.3440239,-3.690749,Madrid,San Cristobal,sale,0,70000.00,0,0.00,88750.00,0,1,84900.00,70000.00,0,1029.00,1428.00,-27.90,1286.00,-20.00,Madrid,3.00,68.00,"(60, 70]",good,flat,"San Cristobal, Madrid","Piso en Calle de Beniferri, 61",15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/92353439/"", ""https://www.idealista.com/inmueble/92353439/"")",2021-01-18
"Calle de Godella, 249",1.00,Fl75In1b,Villaverde,1802/81,0,alt,False,False,92136357,0,False,False,1,40.3409252,-3.6867792,Madrid,San Cristobal,sale,0,88000.00,0,0.00,88750.00,0,1,84900.00,88000.00,0,1128.00,1428.00,-21.00,1286.00,-12.30,Madrid,3.00,78.00,"(70, 80]",good,flat,"San Cristobal, Madrid","Piso en Calle de Godella, 249",15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/92136357/"", ""https://www.idealista.com/inmueble/92136357/"")",2021-01-18
barrio Casco Historico de Vallecas,1.00,Fl65Ex1b,Villa de Vallecas,CNI-ARG498,0,alt,False,False,91977281,0,True,False,1,40.3815204,-3.6210274,Madrid,Casco Historico de Vallecas,sale,0,99900.00,0,0.00,97000.00,0,1,97500.00,99900.00,0,1611.00,1850.00,-12.90,1881.50,-14.40,Madrid,3.00,62.00,"(60, 70]",good,flat,"Casco Historico de Vallecas, Madrid",Piso,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/91977281/"", ""https://www.idealista.com/inmueble/91977281/"")",2021-01-18
barrio San Cristobal,1.00,Fl75Ex1b,Villaverde,1802/47,2,alt,False,False,89751259,0,True,False,1,40.3428462,-3.6918341,Madrid,San Cristobal,sale,0,79900.00,0,0.00,88750.00,0,1,84900.00,79900.00,0,1065.00,1428.00,-25.40,1286.00,-17.20,Madrid,3.00,75.00,"(70, 80]",good,flat,"San Cristobal, Madrid",Piso,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/89751259/"", ""https://www.idealista.com/inmueble/89751259/"")",2021-01-18
barrio San Andres,1.00,Fl75Ex1b,Villaverde,1802/59,3,alt,False,False,90888132,0,True,False,1,40.3470412,-3.7149182,Madrid,San Andres,sale,0,95000.00,0,0.00,88750.00,0,1,89950.00,95000.00,0,1267.00,1428.00,-11.30,1458.00,-13.10,Madrid,2.00,75.00,"(70, 80]",good,flat,"San Andres, Madrid",Piso,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/90888132/"", ""https://www.idealista.com/inmueble/90888132/"")",2021-01-18
"Calle de Rocafort, 24",1.00,Fl75Ex1b,Villaverde,1802/78,4,alt,False,False,92056311,0,True,False,1,40.3413961,-3.6868152,Madrid,San Cristobal,sale,0,70000.00,0,0.00,88750.00,0,1,84900.00,70000.00,0,972.00,1428.00,-31.90,1286.00,-24.40,Madrid,3.00,72.00,"(70, 80]",good,flat,"San Cristobal, Madrid","Piso en Calle de Rocafort, 24",15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/92056311/"", ""https://www.idealista.com/inmueble/92056311/"")",2021-01-18
barrio Lucero,1.00,Fl25Ex1bBj,Latina,LTN0031-19,bj,bj,False,False,91726225,0,True,False,1,40.4045521,-3.7471028,Madrid,Lucero,sale,0,95000.00,0,0.00,95000.00,0,1,96750.00,95000.00,0,3167.00,1907.00,66.10,2321.00,36.40,Madrid,1.00,30.00,"(20, 30]",good,flat,"Lucero, Madrid",Piso,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/91726225/"", ""https://www.idealista.com/inmueble/91726225/"")",2021-01-18
barrio San Diego,1.00,Fl65Ex1b,Puente de Vallecas,TRV1742,3,alt,False,False,91835044,0,True,False,1,40.3861906,-3.669826,Madrid,San Diego,sale,0,98000.00,0,0.00,90000.00,0,1,89700.00,98000.00,0,1581.00,1659.00,-4.70,1716.00,-7.90,Madrid,2.00,62.00,"(60, 70]",good,flat,"San Diego, Madrid",Piso,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/91835044/"", ""https://www.idealista.com/inmueble/91835044/"")",2021-01-18
"CERRO DEL MURMULLO, 13",1.00,Fl55Ex1bLf,Villa de Vallecas,estudio79,1,alt,True,True,91060417,0,True,False,1,40.3645751,-3.5833714,Madrid,Ensanche de Vallecas - La Gavia,sale,0,90000.00,0,0.00,97000.00,0,1,92500.00,90000.00,0,1765.00,1850.00,-4.60,1850.00,-4.60,Madrid,0.00,51.00,"(50, 60]",good,studio,"Ensanche de Vallecas - La Gavia, Madrid","Estudio en CERRO DEL MURMULLO, 13",15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/91060417/"", ""https://www.idealista.com/inmueble/91060417/"")",2021-01-18
barrio Puerta del Angel,1.00,Fl45Ex1b,Latina,S4-21627-0001,4,alt,False,False,89827399,0,True,False,1,40.4047105,-3.7359014999999998,Madrid,Puerta del Angel,sale,0,90000.00,0,0.00,95000.00,0,1,95500.00,90000.00,0,2195.00,1907.00,15.10,2187.00,0.40,Madrid,3.00,41.00,"(40, 50]",good,flat,"Puerta del Angel, Madrid",Piso,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/89827399/"", ""https://www.idealista.com/inmueble/89827399/"")",2021-01-18
barrio San Cristobal,1.00,Fl65Ex1b,Villaverde,1802/62,1,alt,False,False,91016406,0,True,False,1,40.3419589,-3.6897014,Madrid,San Cristobal,sale,0,99900.00,0,0.00,88750.00,0,1,84900.00,99900.00,0,1537.00,1428.00,7.60,1286.00,19.50,Madrid,3.00,65.00,"(60, 70]",good,flat,"San Cristobal, Madrid",Piso,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/91016406/"", ""https://www.idealista.com/inmueble/91016406/"")",2021-01-18
barrio San Andres,1.00,Fl65Ex1b,Villaverde,1802/70,3,alt,False,False,91000141,0,True,False,1,40.3426744,-3.7126324,Madrid,San Andres,sale,0,95000.00,0,0.00,88750.00,0,1,89950.00,95000.00,0,1484.00,1428.00,3.90,1458.00,1.80,Madrid,2.00,64.00,"(60, 70]",good,flat,"San Andres, Madrid",Piso,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/91000141/"", ""https://www.idealista.com/inmueble/91000141/"")",2021-01-18
barrio Amposta,1.00,Fl75Ex1b,San Blas,19132-28VRC,1,alt,False,False,87255396,0,True,False,1,40.4238898,-3.6241512,Madrid,Amposta,sale,0,95000.00,0,0.00,95000.00,0,1,90000.00,95000.00,0,1338.00,1827.00,-26.80,1800.00,-25.70,Madrid,3.00,71.00,"(70, 80]",good,flat,"Amposta, Madrid",Piso,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/87255396/"", ""https://www.idealista.com/inmueble/87255396/"")",2021-01-18
barrio San Diego,1.00,Fl55In1bLfBj,Puente de Vallecas,20083-28VRC,bj,bj,True,False,89795706,0,False,False,1,40.3838991,-3.6672514,Madrid,San Diego,sale,0,85000.00,0,0.00,90000.00,0,1,89700.00,85000.00,0,1545.00,1659.00,-6.90,1716.00,-10.00,Madrid,2.00,55.00,"(50, 60]",good,flat,"San Diego, Madrid",Piso,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/89795706/"", ""https://www.idealista.com/inmueble/89795706/"")",2021-01-18
Calle Reinosa,1.00,Fl75Ex1b,Carabanchel,RP104202178912,0,alt,False,False,92420494,1,True,False,0,40.3819543,-3.7419072,Madrid,Vista Alegre,sale,0,77500.00,0,0.00,95000.00,0,1,95000.00,0.00,0,1076.00,1778.00,-39.50,1678.00,-35.90,Madrid,1.00,72.00,"(70, 80]",good,flat,"Vista Alegre, Madrid",Piso en Calle Reinosa,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/92420494/"", ""https://www.idealista.com/inmueble/92420494/"")",2021-01-18
Alferez Juan Usera,1.00,Fl35In1bLf,Carabanchel,OL-124855,en,alt,True,False,81446079,0,False,False,1,40.39433,-3.73121,Madrid,San Isidro,sale,0,80000.00,0,0.00,95000.00,0,1,90000.00,80000.00,0,2105.00,1778.00,18.40,2052.50,2.60,Madrid,1.00,38.00,"(30, 40]",good,flat,"San Isidro, Madrid",Piso en Alferez Juan Usera,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/81446079/"", ""https://www.idealista.com/inmueble/81446079/"")",2021-01-18
barrio Lavapies-Embajadores,1.00,Fl75In1bLf,Centro,EM-ARG22,2,alt,True,False,87737005,0,False,False,1,40.4059416,-3.6964384,Madrid,Lavapies-Embajadores,sale,0,89000.00,0,0.00,94999.50,0,1,92499.50,89000.00,0,1254.00,4475.00,-72.00,4005.00,-68.70,Madrid,2.00,71.00,"(70, 80]",good,flat,"Lavapies-Embajadores, Madrid",Piso,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/87737005/"", ""https://www.idealista.com/inmueble/87737005/"")",2021-01-18
Camino de Valderribas,1.00,Fl55Ex1b,Puente de Vallecas,0,en,alt,False,False,92464522,1,True,False,0,40.39492,-3.66038,Madrid,Numancia,sale,0,99000.00,0,0.00,90000.00,0,1,92500.00,0.00,0,1650.00,1659.00,-0.50,1682.50,-1.90,Madrid,2.00,60.00,"(50, 60]",good,flat,"Numancia, Madrid",Piso en Camino de Valderribas,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/92464522/"", ""https://www.idealista.com/inmueble/92464522/"")",2021-01-18
Calle Milmarcos,1.00,Fl45Ex1bBj,Villa de Vallecas,S4-20394-0001,bj,bj,False,False,92435328,1,True,False,0,40.375487,-3.6201072,Madrid,Casco Historico de Vallecas,sale,0,97000.00,0,0.00,97000.00,0,1,97500.00,0.00,0,2366.00,1850.00,27.90,1881.50,25.80,Madrid,2.00,41.00,"(40, 50]",good,flat,"Casco Historico de Vallecas, Madrid",Piso en Calle Milmarcos,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/92435328/"", ""https://www.idealista.com/inmueble/92435328/"")",2021-01-18
Calle Milmarcos,1.00,Fl45Ex1bBj,Villa de Vallecas,S4-20394-0001,bj,bj,False,False,92434715,1,True,False,0,40.374787,-3.6180072,Madrid,Casco Historico de Vallecas,sale,0,97000.00,0,0.00,97000.00,0,1,97500.00,0.00,0,2366.00,1850.00,27.90,1881.50,25.80,Madrid,2.00,41.00,"(40, 50]",good,flat,"Casco Historico de Vallecas, Madrid",Piso en Calle Milmarcos,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/92434715/"", ""https://www.idealista.com/inmueble/92434715/"")",2021-01-18
"Calle de Juan Boscan, 22",1.00,Fl45Ex1bBj,Ciudad Lineal,Jb22venta,bj,bj,False,False,92411333,1,True,False,0,40.4265549,-3.6405298999999998,Madrid,Pueblo Nuevo,sale,0,99000.00,0,0.00,99000.00,0,1,99000.00,0.00,0,2152.00,2824.00,-23.80,2824.00,-23.80,Madrid,2.00,46.00,"(40, 50]",good,flat,"Pueblo Nuevo, Madrid","Piso en Calle de Juan Boscan, 22",15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/92411333/"", ""https://www.idealista.com/inmueble/92411333/"")",2021-01-18
Calle Albares de la Ribera,1.00,Fl55In1b,Carabanchel,OPO233,3,alt,False,False,92449329,1,False,False,0,40.3732197,-3.7409182,Madrid,Puerta Bonita,sale,0,96000.00,0,0.00,95000.00,0,1,96000.00,0.00,0,1745.00,1778.00,-1.90,1782.00,-2.10,Madrid,2.00,55.00,"(50, 60]",good,flat,"Puerta Bonita, Madrid",Piso en Calle Albares de la Ribera,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/92449329/"", ""https://www.idealista.com/inmueble/92449329/"")",2021-01-18
Avenida de San Diego,1.00,Fl25Ex1bBj,Puente de Vallecas,2488,bj,bj,False,False,91921070,0,True,False,1,40.3898429,-3.668757,Madrid,San Diego,sale,0,78000.00,0,0.00,90000.00,0,1,89700.00,78000.00,0,3545.00,1659.00,113.70,1716.00,106.60,Madrid,1.00,22.00,"(20, 30]",good,flat,"San Diego, Madrid",Piso en Avenida de San Diego,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/91921070/"", ""https://www.idealista.com/inmueble/91921070/"")",2021-01-18
Calle Manuel Lamela,2.00,Fl55Ex2bBj,Carabanchel,Juan manuel Telf 637 763 609,bj,bj,False,False,92460562,1,True,False,0,40.3838066,-3.7347149,Madrid,Puerta Bonita,sale,0,98000.00,0,0.00,95000.00,0,1,96000.00,0.00,0,1782.00,1778.00,0.20,1782.00,0.00,Madrid,2.00,55.00,"(50, 60]",good,flat,"Puerta Bonita, Madrid",Piso en Calle Manuel Lamela,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/92460562/"", ""https://www.idealista.com/inmueble/92460562/"")",2021-01-18
Calle Fragata,1.00,Fl45In1bLf,Carabanchel,BFGR-V633,4,alt,True,False,92337713,0,False,False,1,40.3954596,-3.733994,Madrid,San Isidro,sale,0,97000.00,0,0.00,95000.00,0,1,90000.00,97000.00,0,2205.00,1778.00,24.00,2052.50,7.40,Madrid,2.00,44.00,"(40, 50]",good,flat,"San Isidro, Madrid",Piso en Calle Fragata,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/92337713/"", ""https://www.idealista.com/inmueble/92337713/"")",2021-01-18
"Calle de Cartagena, 108",1.00,Fl35In1bLfBj,Chamartin,0,bj,bj,True,False,92421987,1,False,False,0,40.4397652,-3.6737033,Madrid,Prosperidad,sale,0,92000.00,0,0.00,92000.00,0,1,92000.00,0.00,0,2629.00,2629.00,0.00,2629.00,0.00,Madrid,0.00,35.00,"(30, 40]",good,studio,"Prosperidad, Madrid","Estudio en Calle de Cartagena, 108",15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/92421987/"", ""https://www.idealista.com/inmueble/92421987/"")",2021-01-18
Calle de Santa Felicidad,1.00,Fl25In1bLfBj,Ciudad Lineal,38943,bj,bj,True,False,92055744,0,False,False,1,40.4251637,-3.6518414999999997,Madrid,Ventas,sale,0,74000.00,0,0.00,99000.00,0,1,86500.00,74000.00,0,2467.00,2824.00,-12.60,2883.50,-14.40,Madrid,1.00,30.00,"(20, 30]",good,flat,"Ventas, Madrid",Piso en Calle de Santa Felicidad,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/92055744/"", ""https://www.idealista.com/inmueble/92055744/"")",2021-01-18
"Carretera Villaverde a Vallecas, 293 B",2.00,Fl55Ex2bLf,Villa de Vallecas,DW-000-999,3,alt,True,False,91929335,0,True,False,1,40.3761498,-3.6323477,Madrid,Ensanche de Vallecas - La Gavia,sale,0,99000.00,0,0.00,97000.00,0,1,92500.00,99000.00,0,1707.00,1850.00,-7.70,1850.00,-7.70,Madrid,1.00,58.00,"(50, 60]",good,flat,"Ensanche de Vallecas - La Gavia, Madrid","Piso en Carretera Villaverde a Vallecas, 293 B",15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/91929335/"", ""https://www.idealista.com/inmueble/91929335/"")",2021-01-18
