Address,Bathrooms,Category,District,Externalreference,Floor,Floor_int,Has_Lift,Has_Parking,Id,Inputs,Is_Ext,Is_New,Keeps,Latitude,Longitude,Municipality,Neighborhood,Operation,Outputs,Price,Price_Diff,Price_Diff_pc,Price_Distr,Price_Down,Price_Keep,Price_Neighb,Price_Old,Price_Up,Price_m2,Price_m2_Distr,Price_m2_Distr_Diff_pc,Price_m2_Neighb,Price_m2_Neighb_Diff_pc,Province,Rooms,Size,Size_Interval,Status,Sub_Type,Subtitle,Title,Total,Type,Url,Fecha
barrio Hellin,1.00,Fl45In1b,San Blas,VI-000-020-715-603,0,alt,False,False,91487645,0,False,False,1,40.4307025,-3.6183316999999997,Madrid,Hellin,sale,0,99000.00,0,0.00,95000.00,0,1,99000.00,99000.00,0,2063.00,1827.00,12.90,1918.00,7.60,Madrid,2.00,48.00,"(40, 50]",good,flat,"Hellin, Madrid",Piso,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/91487645/"", ""https://www.idealista.com/inmueble/91487645/"")",2021-01-18
Camino de la Suerte,1.00,Fl55Ex1b,Villa de Vallecas,4342,2,alt,False,False,92202826,0,True,False,1,40.3764241,-3.6177992,Madrid,Casco Historico de Vallecas,sale,0,85000.00,0,0.00,97000.00,0,1,97500.00,85000.00,0,1545.00,1850.00,-16.50,1881.50,-17.90,Madrid,2.00,55.00,"(50, 60]",good,flat,"Casco Historico de Vallecas, Madrid",Piso en Camino de la Suerte,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/92202826/"", ""https://www.idealista.com/inmueble/92202826/"")",2021-01-18
Calle Inventores,1.00,Fl45Ex1b,San Blas,FHOG-1237,3,alt,False,False,91705929,0,True,False,1,40.4342025,-3.6198316999999998,Madrid,Hellin,sale,0,99000.00,0,0.00,95000.00,0,1,99000.00,99000.00,0,2063.00,1827.00,12.90,1918.00,7.60,Madrid,2.00,48.00,"(40, 50]",good,flat,"Hellin, Madrid",Piso en Calle Inventores,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/91705929/"", ""https://www.idealista.com/inmueble/91705929/"")",2021-01-18
Calle Inventores,1.00,Fl45Ex1b,San Blas,Inventores,3,alt,False,False,91791983,0,True,False,1,40.4330025,-3.6179316999999998,Madrid,Hellin,sale,0,99000.00,0,0.00,95000.00,0,1,99000.00,99000.00,0,2063.00,1827.00,12.90,1918.00,7.60,Madrid,2.00,48.00,"(40, 50]",good,flat,"Hellin, Madrid",Piso en Calle Inventores,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/91791983/"", ""https://www.idealista.com/inmueble/91791983/"")",2021-01-18
Calle Topete,1.00,Fl25In1b,Tetuan,0,4,alt,False,False,92170018,0,False,False,1,40.4472388,-3.7037443999999997,Madrid,Bellas Vistas,sale,0,90900.00,0,0.00,91200.00,0,1,94450.00,90900.00,0,3030.00,3030.00,0.00,3419.00,-11.40,Madrid,1.00,30.00,"(20, 30]",good,flat,"Bellas Vistas, Madrid",Piso en Calle Topete,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/92170018/"", ""https://www.idealista.com/inmueble/92170018/"")",2021-01-18
Avenida de Buenos Aires,1.00,Fl65Ex1bLf,Puente de Vallecas,BUENOS AIRES 64,2,alt,True,False,89091990,0,True,False,1,40.3871623,-3.6526705,Madrid,Palomeras Bajas,sale,0,89000.00,0,0.00,90000.00,0,1,89000.00,89000.00,0,1413.00,1659.00,-14.80,1583.00,-10.70,Madrid,3.00,63.00,"(60, 70]",good,flat,"Palomeras Bajas, Madrid",Piso en Avenida de Buenos Aires,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/89091990/"", ""https://www.idealista.com/inmueble/89091990/"")",2021-01-18
Calle Campo de la Paloma,1.00,Fl55Ex1b,Puente de Vallecas,PI-000-000-035-775,4,alt,False,False,92407889,1,True,False,0,40.3821902,-3.6480167999999997,Madrid,Palomeras sureste,sale,0,87000.00,0,0.00,90000.00,0,1,75000.00,0.00,0,1475.00,1659.00,-11.10,1919.00,-23.10,Madrid,2.00,59.00,"(50, 60]",good,flat,"Palomeras sureste, Madrid",Piso en Calle Campo de la Paloma,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/92407889/"", ""https://www.idealista.com/inmueble/92407889/"")",2021-01-18
"Calle del Estroncio, 15",1.00,Fl55Ex1b,Villaverde,TAFIRA - ESTRONCIO,2,alt,False,False,92407867,1,True,False,0,40.34755,-3.68963,Madrid,Los Rosales,sale,0,92500.00,0,0.00,88750.00,0,1,90750.00,0.00,0,1542.00,1428.00,8.00,1565.50,-1.50,Madrid,2.00,60.00,"(50, 60]",good,flat,"Los Rosales, Madrid","Piso en Calle del Estroncio, 15",15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/92407867/"", ""https://www.idealista.com/inmueble/92407867/"")",2021-01-18
Calle de Calero Pita,2.00,Fl85Ex2b,Puente de Vallecas,AJ 28,3,alt,False,False,90579986,0,True,False,1,40.38355,-3.6701001,Madrid,Entrevias,sale,0,94560.00,0,0.00,90000.00,0,1,94000.00,94560.00,0,1126.00,1659.00,-32.10,1424.00,-20.90,Madrid,3.00,84.00,"(80, 90]",good,flat,"Entrevias, Madrid",Piso en Calle de Calero Pita,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/90579986/"", ""https://www.idealista.com/inmueble/90579986/"")",2021-01-18
Calle de Calero Pita,2.00,Fl85Ex2b,Puente de Vallecas,AJ 29,4,alt,False,False,90580106,0,True,False,1,40.38175,-3.6697001,Madrid,Entrevias,sale,0,92480.00,0,0.00,90000.00,0,1,94000.00,92480.00,0,1101.00,1659.00,-33.60,1424.00,-22.70,Madrid,3.00,84.00,"(80, 90]",good,flat,"Entrevias, Madrid",Piso en Calle de Calero Pita,15095.00,flat,"=HYPERLINK(""https://www.idealista.com/inmueble/90580106/"", ""https://www.idealista.com/inmueble/90580106/"")",2021-01-18
