Titulo,Segmento,Etiqueta,Periodo,Anyo,Valor,Unidad,Escala
Demanda Pisos baratos,Google,Busquedas,M02,2021,36892,Busquedas,Unidad
Demanda Pisos baratos,Google,Busquedas,M01,2021,36771,Busquedas,Unidad
