Zone,Type,Is_New,Is_Ext,Has_Lift,Has_Parking,Bathrooms,Size_Interval,Floor,Offers,Price_m2_med,Price_m2_mean,Price_med,Price_mean,Rooms_med,Year,Month,Week,Category,Zone_Catg
Zofio,flat,False,False,False,False,1,"(50, 60]",bj,1,1464,1464,82000,82000,2.00,2021,M01,W02,f55b1bj,Zofio f55b1bj
Zofio,flat,False,False,False,False,1,"(50, 60]",int,1,1768,1768,99000,99000,2.00,2021,M01,W02,f55b1,Zofio f55b1
Pradolongo,flat,False,True,False,False,1,"(50, 60]",bj,1,1317,1317,79000,79000,2.00,2021,M01,W02,fe55b1bj,Pradolongo fe55b1bj
Vista Alegre,flat,False,True,False,False,1,"(80, 90]",int,1,920,920,80000,80000,3.00,2021,M01,W02,fe85b1,Vista Alegre fe85b1
Vista Alegre,flat,False,True,False,False,1,"(70, 80]",int,1,1132,1132,84900,84900,2.00,2021,M01,W02,fe75b1,Vista Alegre fe75b1
Pradolongo,flat,False,True,False,False,1,"(60, 70]",int,1,1219,1219,78000,78000,2.00,2021,M01,W02,fe65b1,Pradolongo fe65b1
Prosperidad,flat,False,False,True,False,1,"(20, 30]",bj,1,3990,3990,99750,99750,0.00,2021,M01,W02,"flat_False_False_True_False_1_(20, 30]_bj","Prosperidad flat_False_False_True_False_1_(20, 30]_bj"
Pueblo Nuevo,flat,False,False,False,False,1,"(20, 30]",bj,1,2633,2633,79000,79000,2.00,2021,M01,W02,f25b1bj,Pueblo Nuevo f25b1bj
Pueblo Nuevo,flat,False,True,False,False,1,"(20, 30]",bj,1,3300,3300,99000,99000,1.00,2021,M01,W02,fe25b1bj,Pueblo Nuevo fe25b1bj
Vista Alegre,flat,False,True,False,False,1,"(60, 70]",int,1,1202,1202,79358,79358,2.00,2021,M01,W02,fe65b1,Vista Alegre fe65b1
Puerta del Angel,flat,False,True,False,False,1,"(50, 60]",int,1,1627,1627,96000,96000,2.00,2021,M01,W02,fe55b1,Puerta del Angel fe55b1
Puerta Bonita,flat,False,False,False,False,1,"(50, 60]",int,1,1745,1745,96000,96000,2.00,2021,M01,W02,f55b1,Puerta Bonita f55b1
Vista Alegre,flat,False,True,False,False,1,"(40, 50]",int,1,2111,2111,95000,95000,2.00,2021,M01,W02,fe45b1,Vista Alegre fe45b1
Puerta del Angel,flat,False,True,False,False,1,"(40, 50]",int,1,2195,2195,90000,90000,3.00,2021,M01,W02,fe45b1,Puerta del Angel fe45b1
Tres Olivos - Valverde,flat,False,True,False,False,1,"(30, 40]",bj,1,2143,2143,75000,75000,0.00,2021,M01,W02,fe35b1bj,Tres Olivos - Valverde fe35b1bj
Puerta del Angel,flat,False,True,False,False,1,"(60, 70]",int,1,1143,1143,80000,80000,3.00,2021,M01,W02,fe65b1,Puerta del Angel fe65b1
San Fermin,flat,False,True,True,False,1,"(60, 70]",int,1,1508,1508,95000,95000,2.00,2021,M01,W02,fe65b1lf,San Fermin fe65b1lf
San Isidro,flat,False,False,False,False,2,"(70, 80]",bj,1,1186,1186,94900,94900,3.00,2021,M01,W02,"flat_False_False_False_False_2_(70, 80]_bj","San Isidro flat_False_False_False_False_2_(70, 80]_bj"
San Cristobal,flat,False,True,False,False,1,"(30, 40]",bj,1,2139,2139,81300,81300,1.00,2021,M01,W02,fe35b1bj,San Cristobal fe35b1bj
San Cristobal,flat,False,True,False,False,1,"(60, 70]",bj,1,1327,1327,84900,84900,2.00,2021,M01,W02,fe65b1bj,San Cristobal fe65b1bj
San Isidro,flat,False,False,False,False,1,"(40, 50]",bj,1,2302,2302,99000,99000,1.00,2021,M01,W02,f45b1bj,San Isidro f45b1bj
San Diego,flat,False,False,False,False,1,"(20, 30]",bj,1,2496,2496,69900,69900,1.00,2021,M01,W02,f25b1bj,San Diego f25b1bj
San Diego,flat,False,False,False,False,1,"(40, 50]",bj,1,1927,1927,86700,86700,2.00,2021,M01,W02,f45b1bj,San Diego f45b1bj
San Isidro,flat,False,False,False,False,1,"(20, 30]",bj,1,2467,2467,74000,74000,1.00,2021,M01,W02,f25b1bj,San Isidro f25b1bj
San Diego,flat,False,False,False,False,1,"(50, 60]",int,1,1802,1802,95500,95500,3.00,2021,M01,W02,f55b1,San Diego f55b1
San Isidro,flat,False,False,True,False,1,"(40, 50]",int,1,2205,2205,97000,97000,2.00,2021,M01,W02,"flat_False_False_True_False_1_(40, 50]_int","San Isidro flat_False_False_True_False_1_(40, 50]_int"
San Diego,flat,False,False,True,False,1,"(30, 40]",int,1,1947,1947,74000,74000,2.00,2021,M01,W02,"flat_False_False_True_False_1_(30, 40]_int","San Diego flat_False_False_True_False_1_(30, 40]_int"
San Isidro,flat,False,False,True,False,1,"(30, 40]",int,1,2105,2105,80000,80000,1.00,2021,M01,W02,"flat_False_False_True_False_1_(30, 40]_int","San Isidro flat_False_False_True_False_1_(30, 40]_int"
San Diego,flat,False,False,True,False,1,"(40, 50]",int,1,2040,2040,89758,89758,1.00,2021,M01,W02,"flat_False_False_True_False_1_(40, 50]_int","San Diego flat_False_False_True_False_1_(40, 50]_int"
San Fermin,flat,False,True,False,False,1,"(50, 60]",int,1,1696,1696,89900,89900,2.00,2021,M01,W02,fe55b1,San Fermin fe55b1
Puerta del Angel,flat,False,True,False,False,2,"(40, 50]",bj,1,1680,1680,84000,84000,1.00,2021,M01,W02,"flat_False_True_False_False_2_(40, 50]_bj","Puerta del Angel flat_False_True_False_False_2_(40, 50]_bj"
Pinar del Rey,flat,False,True,False,False,1,"(20, 30]",bj,1,3267,3267,98000,98000,0.00,2021,M01,W02,fe25b1bj,Pinar del Rey fe25b1bj
San Fermin,flat,False,False,False,False,1,"(60, 70]",int,1,1508,1508,95000,95000,3.00,2021,M01,W02,f65b1,San Fermin f65b1
San Diego,flat,False,False,False,False,1,"(50, 60]",bj,1,1648,1648,89000,89000,2.00,2021,M01,W02,f55b1bj,San Diego f55b1bj
San Diego,flat,False,True,False,False,2,"(50, 60]",bj,1,1412,1412,72000,72000,2.00,2021,M01,W02,"flat_False_True_False_False_2_(50, 60]_bj","San Diego flat_False_True_False_False_2_(50, 60]_bj"
San Diego,flat,False,True,False,False,1,"(80, 90]",int,1,1159,1159,95000,95000,3.00,2021,M01,W02,fe85b1,San Diego fe85b1
San Diego,flat,False,False,False,False,1,"(50, 60]",int,1,1696,1696,95000,95000,2.00,2021,M01,W02,f55b1,San Diego f55b1
San Diego,flat,False,False,False,False,1,"(60, 70]",int,1,1159,1159,80000,80000,2.00,2021,M01,W02,f65b1,San Diego f65b1
San Diego,flat,False,True,False,False,1,"(40, 50]",int,1,1810,1810,76000,76000,1.00,2021,M01,W02,fe45b1,San Diego fe45b1
San Diego,flat,False,True,True,False,1,"(30, 40]",bj,1,2622,2622,97000,97000,0.00,2021,M01,W02,"flat_False_True_True_False_1_(30, 40]_bj","San Diego flat_False_True_True_False_1_(30, 40]_bj"
San Diego,flat,False,True,True,False,1,"(30, 40]",int,1,2250,2250,90000,90000,1.00,2021,M01,W02,fe35b1lf,San Diego fe35b1lf
San Diego,flat,False,True,True,False,1,"(40, 50]",bj,1,1978,1978,91000,91000,1.00,2021,M01,W02,"flat_False_True_True_False_1_(40, 50]_bj","San Diego flat_False_True_True_False_1_(40, 50]_bj"
San Diego,flat,False,True,True,False,1,"(70, 80]",bj,1,1042,1042,75000,75000,2.00,2021,M01,W02,"flat_False_True_True_False_1_(70, 80]_bj","San Diego flat_False_True_True_False_1_(70, 80]_bj"
San Isidro,flat,False,True,False,False,1,"(30, 40]",int,1,2500,2500,99999,99999,1.00,2021,M01,W02,fe35b1,San Isidro fe35b1
San Cristobal,flat,False,False,False,False,1,"(40, 50]",bj,1,1891,1891,81300,81300,1.00,2021,M01,W02,f45b1bj,San Cristobal f45b1bj
San Isidro,flat,False,True,False,False,1,"(50, 60]",int,1,1689,1689,89500,89500,2.00,2021,M01,W02,fe55b1,San Isidro fe55b1
San Cristobal,flat,False,False,True,False,1,"(40, 50]",int,1,1891,1891,81300,81300,1.00,2021,M01,W02,"flat_False_False_True_False_1_(40, 50]_int","San Cristobal flat_False_False_True_False_1_(40, 50]_int"
Quintana,flat,False,False,True,False,1,"(50, 60]",bj,1,1235,1235,63000,63000,3.00,2021,M01,W02,"flat_False_False_True_False_1_(50, 60]_bj","Quintana flat_False_False_True_False_1_(50, 60]_bj"
Valdeacederas,flat,False,True,False,False,1,"(30, 40]",bj,1,2450,2450,98000,98000,1.00,2021,M01,W02,fe35b1bj,Valdeacederas fe35b1bj
Valdeacederas,flat,False,False,False,False,1,"(20, 30]",bj,1,4045,4045,89000,89000,0.00,2021,M01,W02,f25b1bj,Valdeacederas f25b1bj
San Andres,flat,False,False,False,False,1,"(50, 60]",int,1,1827,1827,95000,95000,1.00,2021,M01,W02,f55b1,San Andres f55b1
San Andres,flat,False,False,False,False,1,"(60, 70]",int,1,1075,1075,72000,72000,2.00,2021,M01,W02,f65b1,San Andres f65b1
Tres Olivos - Valverde,flat,False,True,False,False,1,"(50, 60]",bj,1,1727,1727,95000,95000,0.00,2021,M01,W02,fe55b1bj,Tres Olivos - Valverde fe55b1bj
San Andres,flat,False,False,True,False,1,"(50, 60]",bj,1,1158,1158,66000,66000,3.00,2021,M01,W02,"flat_False_False_True_False_1_(50, 60]_bj","San Andres flat_False_False_True_False_1_(50, 60]_bj"
San Andres,flat,False,False,False,False,1,"(30, 40]",int,1,2219,2219,71000,71000,0.00,2021,M01,W02,f35b1,San Andres f35b1
San Diego,flat,False,True,False,False,1,"(30, 40]",bj,1,2368,2368,90000,90000,0.00,2021,M01,W02,fe35b1bj,San Diego fe35b1bj
Tres Olivos - Valverde,chalet,False,False,False,False,1,"(40, 50]",int,1,1780,1780,89000,89000,2.00,2021,M01,W02,"chalet_False_False_False_False_1_(40, 50]_int","Tres Olivos - Valverde chalet_False_False_False_False_1_(40, 50]_int"
Trafalgar,flat,False,False,True,False,1,"(10, 20]",int,1,4525,4525,90500,90500,1.00,2021,M01,W02,"flat_False_False_True_False_1_(10, 20]_int","Trafalgar flat_False_False_True_False_1_(10, 20]_int"
Simancas,flat,False,True,False,False,1,"(40, 50]",bj,1,1837,1837,89990,89990,2.00,2021,M01,W02,fe45b1bj,Simancas fe45b1bj
San Andres,flat,False,True,False,False,1,"(40, 50]",int,1,1760,1760,88000,88000,2.00,2021,M01,W02,fe45b1,San Andres fe45b1
San Andres,flat,False,True,True,False,1,"(40, 50]",bj,1,1771,1771,85000,85000,1.00,2021,M01,W02,"flat_False_True_True_False_1_(40, 50]_bj","San Andres flat_False_True_True_False_1_(40, 50]_bj"
Simancas,flat,False,True,True,False,1,"(50, 60]",int,1,1709,1709,94000,94000,2.00,2021,M01,W02,fe55b1lf,Simancas fe55b1lf
San Andres,flat,False,True,True,False,1,"(60, 70]",bj,1,1397,1397,95000,95000,3.00,2021,M01,W02,"flat_False_True_True_False_1_(60, 70]_bj","San Andres flat_False_True_True_False_1_(60, 70]_bj"
Simancas,flat,False,True,True,False,1,"(30, 40]",bj,1,2781,2781,89000,89000,1.00,2021,M01,W02,"flat_False_True_True_False_1_(30, 40]_bj","Simancas flat_False_True_True_False_1_(30, 40]_bj"
Simancas,flat,False,False,False,False,1,"(40, 50]",int,1,1850,1850,92500,92500,2.00,2021,M01,W02,f45b1,Simancas f45b1
Simancas,flat,False,False,True,False,1,"(40, 50]",int,1,2200,2200,99000,99000,2.00,2021,M01,W02,"flat_False_False_True_False_1_(40, 50]_int","Simancas flat_False_False_True_False_1_(40, 50]_int"
Simancas,flat,False,False,False,False,1,"(40, 50]",int,1,2011,2011,92500,92500,2.00,2021,M01,W02,f45b1,Simancas f45b1
Santa Eugenia,flat,False,True,True,False,1,"(70, 80]",bj,1,1319,1319,95000,95000,2.00,2021,M01,W02,"flat_False_True_True_False_1_(70, 80]_bj","Santa Eugenia flat_False_True_True_False_1_(70, 80]_bj"
San Isidro,flat,False,True,False,False,1,"(70, 80]",int,1,1394,1394,99000,99000,3.00,2021,M01,W02,fe75b1,San Isidro fe75b1
San Isidro,flat,False,True,False,False,1,"(60, 70]",bj,1,1254,1254,79000,79000,3.00,2021,M01,W02,fe65b1bj,San Isidro fe65b1bj
San Andres,flat,False,True,False,False,1,"(80, 90]",int,1,1112,1112,99000,99000,2.00,2021,M01,W02,fe85b1,San Andres fe85b1
San Andres,flat,False,True,False,False,2,"(60, 70]",bj,1,956,956,65000,65000,2.00,2021,M01,W02,"flat_False_True_False_False_2_(60, 70]_bj","San Andres flat_False_True_False_False_2_(60, 70]_bj"
12 de Octubre-Orcasur,flat,False,False,False,False,1,"(40, 50]",int,1,2143,2143,90000,90000,1.00,2021,M01,W02,f45b1,12 de Octubre-Orcasur f45b1
Pacifico,flat,False,True,True,False,1,"(30, 40]",int,1,2611,2611,94000,94000,2.00,2021,M01,W02,fe35b1lf,Pacifico fe35b1lf
Pinar del Rey,flat,False,False,False,False,1,"(30, 40]",bj,1,2474,2474,94000,94000,1.00,2021,M01,W02,f35b1bj,Pinar del Rey f35b1bj
Butarque,flat,False,True,False,False,1,"(50, 60]",int,1,1571,1571,88000,88000,3.00,2021,M01,W02,fe55b1,Butarque fe55b1
Casco Historico de Vallecas,flat,False,False,False,False,1,"(40, 50]",int,1,1980,1980,99000,99000,2.00,2021,M01,W02,f45b1,Casco Historico de Vallecas f45b1
Canillejas,flat,False,True,False,False,1,"(60, 70]",bj,1,1523,1523,99000,99000,3.00,2021,M01,W02,fe65b1bj,Canillejas fe65b1bj
Campamento,flat,False,True,False,False,1,"(60, 70]",int,1,1284,1284,86000,86000,3.00,2021,M01,W02,fe65b1,Campamento fe65b1
Campamento,flat,False,True,False,False,1,"(60, 70]",bj,1,1477,1477,96000,96000,3.00,2021,M01,W02,fe65b1bj,Campamento fe65b1bj
Campamento,flat,False,True,False,False,1,"(50, 60]",int,1,1667,1667,100000,100000,2.00,2021,M01,W02,fe55b1,Campamento fe55b1
Campamento,flat,False,True,True,False,2,"(60, 70]",int,1,1289,1289,83800,83800,3.00,2021,M01,W02,"flat_False_True_True_False_2_(60, 70]_int","Campamento flat_False_True_True_False_2_(60, 70]_int"
Butarque,flat,False,True,False,False,1,"(90, 100]",int,1,990,990,97000,97000,3.00,2021,M01,W02,"flat_False_True_False_False_1_(90, 100]_int","Butarque flat_False_True_False_False_1_(90, 100]_int"
Butarque,flat,False,True,False,False,1,"(40, 50]",int,1,1644,1644,74000,74000,3.00,2021,M01,W02,fe45b1,Butarque fe45b1
Butarque,flat,False,False,False,False,1,"(60, 70]",int,1,1426,1426,97000,97000,3.00,2021,M01,W02,f65b1,Butarque f65b1
Berruguete,flat,False,False,False,1.0,1,"(20, 30]",bj,1,3788,3788,98500,98500,1.00,2021,M01,W02,"flat_False_False_False_1.0_1_(20, 30]_bj","Berruguete flat_False_False_False_1.0_1_(20, 30]_bj"
Butarque,flat,False,False,False,False,1,"(50, 60]",int,1,1571,1571,88000,88000,3.00,2021,M01,W02,f55b1,Butarque f55b1
Butarque,flat,False,False,False,False,1,"(40, 50]",int,1,1644,1644,74000,74000,3.00,2021,M01,W02,f45b1,Butarque f45b1
Buena Vista,flat,False,True,False,False,1,"(70, 80]",int,1,1133,1133,84999,84999,2.00,2021,M01,W02,fe75b1,Buena Vista fe75b1
Buena Vista,flat,False,False,False,False,1,"(50, 60]",int,1,1731,1731,90000,90000,1.00,2021,M01,W02,f55b1,Buena Vista f55b1
Buena Vista,flat,False,False,False,False,1,"(50, 60]",int,1,1731,1731,90000,90000,2.00,2021,M01,W02,f55b1,Buena Vista f55b1
Buena Vista,flat,False,False,False,False,1,"(40, 50]",int,1,1900,1900,95000,95000,2.00,2021,M01,W02,f45b1,Buena Vista f45b1
Berruguete,flat,False,True,False,False,1,"(50, 60]",bj,1,1466,1466,85000,85000,1.00,2021,M01,W02,fe55b1bj,Berruguete fe55b1bj
Berruguete,flat,False,True,False,False,1,"(40, 50]",int,1,1478,1478,68000,68000,1.00,2021,M01,W02,fe45b1,Berruguete fe45b1
Casco Historico de Vallecas,flat,False,False,False,False,1,"(50, 60]",int,1,1885,1885,98000,98000,2.00,2021,M01,W02,f55b1,Casco Historico de Vallecas f55b1
Casco Historico de Vallecas,flat,False,False,False,False,1,"(60, 70]",bj,1,1491,1491,99900,99900,2.00,2021,M01,W02,f65b1bj,Casco Historico de Vallecas f65b1bj
Casco Historico de Vallecas,flat,False,True,True,False,1,"(30, 40]",bj,1,2105,2105,80000,80000,1.00,2021,M01,W02,"flat_False_True_True_False_1_(30, 40]_bj","Casco Historico de Vallecas flat_False_True_True_False_1_(30, 40]_bj"
Casco Historico de Vallecas,flat,False,True,True,False,1,"(40, 50]",bj,1,2270,2270,99900,99900,1.00,2021,M01,W02,"flat_False_True_True_False_1_(40, 50]_bj","Casco Historico de Vallecas flat_False_True_True_False_1_(40, 50]_bj"
Ensanche de Vallecas - La Gavia,flat,False,True,True,1.0,1,"(60, 70]",int,1,1370,1370,95900,95900,1.00,2021,M01,W02,"flat_False_True_True_1.0_1_(60, 70]_int","Ensanche de Vallecas - La Gavia flat_False_True_True_1.0_1_(60, 70]_int"
Ensanche de Vallecas - La Gavia,flat,False,True,True,1.0,1,"(50, 60]",bj,1,1473,1473,82500,82500,0.00,2021,M01,W02,"flat_False_True_True_1.0_1_(50, 60]_bj","Ensanche de Vallecas - La Gavia flat_False_True_True_1.0_1_(50, 60]_bj"
Ensanche de Vallecas - La Gavia,flat,False,True,True,1.0,1,"(30, 40]",int,1,2500,2500,100000,100000,1.00,2021,M01,W02,"flat_False_True_True_1.0_1_(30, 40]_int","Ensanche de Vallecas - La Gavia flat_False_True_True_1.0_1_(30, 40]_int"
Ensanche de Vallecas - La Gavia,flat,False,True,True,False,2,"(50, 60]",int,1,1707,1707,99000,99000,1.00,2021,M01,W02,"flat_False_True_True_False_2_(50, 60]_int","Ensanche de Vallecas - La Gavia flat_False_True_True_False_2_(50, 60]_int"
Ensanche de Vallecas - La Gavia,flat,False,True,True,False,1,"(50, 60]",int,1,1552,1552,90000,90000,0.00,2021,M01,W02,fe55b1lf,Ensanche de Vallecas - La Gavia fe55b1lf
Ensanche de Vallecas - La Gavia,flat,False,True,True,False,1,"(40, 50]",int,1,2063,2063,99000,99000,1.00,2021,M01,W02,fe45b1lf,Ensanche de Vallecas - La Gavia fe45b1lf
Delicias,flat,False,False,False,False,1,"(20, 30]",int,1,3167,3167,95000,95000,1.00,2021,M01,W02,f25b1,Delicias f25b1
Cuatro Caminos,flat,False,False,False,False,1,"(30, 40]",bj,1,2714,2714,95000,95000,2.00,2021,M01,W02,f35b1bj,Cuatro Caminos f35b1bj
Comillas,flat,False,True,False,False,1,"(60, 70]",int,1,1456,1456,99000,99000,3.00,2021,M01,W02,fe65b1,Comillas fe65b1
Comillas,flat,False,True,False,False,1,"(50, 60]",bj,1,1534,1534,89000,89000,2.00,2021,M01,W02,fe55b1bj,Comillas fe55b1bj
Comillas,flat,False,True,False,False,1,"(30, 40]",int,1,2775,2775,99900,99900,1.00,2021,M01,W02,fe35b1,Comillas fe35b1
Comillas,flat,False,False,False,False,1,"(20, 30]",bj,1,2839,2839,79500,79500,1.00,2021,M01,W02,f25b1bj,Comillas f25b1bj
Chueca-Justicia,flat,False,False,True,False,1,"(10, 20]",int,1,6667,6667,100000,100000,0.00,2021,M01,W02,"flat_False_False_True_False_1_(10, 20]_int","Chueca-Justicia flat_False_False_True_False_1_(10, 20]_int"
Casco Historico de Vicalvaro,flat,False,True,True,False,1,"(80, 90]",bj,1,1173,1173,95000,95000,3.00,2021,M01,W02,"flat_False_True_True_False_1_(80, 90]_bj","Casco Historico de Vicalvaro flat_False_True_True_False_1_(80, 90]_bj"
Casco Historico de Vallecas,flat,False,True,False,False,1,"(70, 80]",int,1,1284,1284,95000,95000,3.00,2021,M01,W02,fe75b1,Casco Historico de Vallecas fe75b1
Casco Historico de Vallecas,flat,False,True,True,False,1,"(50, 60]",int,1,1796,1796,97000,97000,1.00,2021,M01,W02,fe55b1lf,Casco Historico de Vallecas fe55b1lf
Casco Historico de Vallecas,flat,False,True,True,False,1,"(40, 50]",int,1,2039,2039,99900,99900,1.00,2021,M01,W02,fe45b1lf,Casco Historico de Vallecas fe45b1lf
Berruguete,flat,False,True,False,False,1,"(30, 40]",bj,1,2970,2970,98000,98000,1.00,2021,M01,W02,fe35b1bj,Berruguete fe35b1bj
Berruguete,flat,False,False,False,False,1,"(30, 40]",bj,1,2794,2794,95000,95000,2.00,2021,M01,W02,f35b1bj,Berruguete f35b1bj
Pinar del Rey,flat,False,False,False,False,1,"(30, 40]",int,1,2474,2474,94000,94000,1.00,2021,M01,W02,f35b1,Pinar del Rey f35b1
Acacias,flat,False,False,True,False,1,"(10, 20]",int,1,5500,5500,99000,99000,1.00,2021,M01,W02,"flat_False_False_True_False_1_(10, 20]_int","Acacias flat_False_False_True_False_1_(10, 20]_int"
Almendrales,flat,False,True,True,False,1,"(50, 60]",bj,1,1617,1617,97000,97000,2.00,2021,M01,W02,"flat_False_True_True_False_1_(50, 60]_bj","Almendrales flat_False_True_True_False_1_(50, 60]_bj"
Almendrales,flat,False,False,False,False,1,"(50, 60]",bj,1,1904,1904,99000,99000,1.00,2021,M01,W02,f55b1bj,Almendrales f55b1bj
Almendrales,flat,False,False,False,False,1,"(40, 50]",int,1,2130,2130,98000,98000,2.00,2021,M01,W02,f45b1,Almendrales f45b1
Almendrales,flat,False,False,False,False,1,"(30, 40]",int,1,2125,2125,85000,85000,1.00,2021,M01,W02,f35b1,Almendrales f35b1
Aguilas,flat,False,True,False,False,2,"(50, 60]",bj,1,1650,1650,99000,99000,2.00,2021,M01,W02,"flat_False_True_False_False_2_(50, 60]_bj","Aguilas flat_False_True_False_False_2_(50, 60]_bj"
Aguilas,flat,False,True,True,False,1,"(60, 70]",int,1,1572,1572,95900,95900,2.00,2021,M01,W02,fe65b1lf,Aguilas fe65b1lf
Aguilas,flat,False,True,True,False,1,"(50, 60]",int,1,1542,1542,91000,91000,2.00,2021,M01,W02,fe55b1lf,Aguilas fe55b1lf
Aeropuerto,flat,False,False,False,False,1,"(70, 80]",int,1,919,919,73500,73500,3.00,2021,M01,W02,f75b1,Aeropuerto f75b1
Abrantes,flat,False,True,False,False,2,"(70, 80]",bj,1,1168,1168,89900,89900,3.00,2021,M01,W02,"flat_False_True_False_False_2_(70, 80]_bj","Abrantes flat_False_True_False_False_2_(70, 80]_bj"
Berruguete,flat,False,False,False,False,1,"(20, 30]",int,1,3442,3442,89500,89500,1.00,2021,M01,W02,f25b1,Berruguete f25b1
Abrantes,flat,False,True,False,False,1,"(70, 80]",int,1,1113,1113,79000,79000,3.00,2021,M01,W02,fe75b1,Abrantes fe75b1
Abrantes,flat,False,True,False,False,1,"(70, 80]",bj,1,1212,1212,90900,90900,3.00,2021,M01,W02,fe75b1bj,Abrantes fe75b1bj
Abrantes,flat,False,True,False,False,1,"(60, 70]",int,1,1414,1414,99000,99000,3.00,2021,M01,W02,fe65b1,Abrantes fe65b1
Abrantes,flat,False,True,False,False,1,"(60, 70]",bj,1,1302,1302,82000,82000,3.00,2021,M01,W02,fe65b1bj,Abrantes fe65b1bj
Abrantes,flat,False,True,False,False,1,"(50, 60]",bj,1,1408,1408,84500,84500,2.00,2021,M01,W02,fe55b1bj,Abrantes fe55b1bj
Abrantes,flat,False,True,False,False,1,"(40, 50]",int,1,2250,2250,99000,99000,2.00,2021,M01,W02,fe45b1,Abrantes fe45b1
Abrantes,flat,False,False,False,False,1,"(70, 80]",int,1,1227,1227,94500,94500,3.00,2021,M01,W02,f75b1,Abrantes f75b1
Abrantes,flat,False,False,False,False,1,"(50, 60]",int,1,1743,1743,88900,88900,2.00,2021,M01,W02,f55b1,Abrantes f55b1
Almendrales,flat,False,True,False,False,1,"(30, 40]",int,1,2450,2450,98000,98000,2.00,2021,M01,W02,fe35b1,Almendrales fe35b1
Almendrales,flat,False,True,False,False,1,"(40, 50]",bj,1,2314,2314,99500,99500,2.00,2021,M01,W02,fe45b1bj,Almendrales fe45b1bj
Almendrales,flat,False,True,False,False,1,"(50, 60]",bj,1,1514,1514,78750,78750,2.00,2021,M01,W02,fe55b1bj,Almendrales fe55b1bj
Aluche,flat,False,False,False,False,1,"(40, 50]",bj,1,1989,1989,89500,89500,2.00,2021,M01,W02,f45b1bj,Aluche f45b1bj
Berruguete,flat,False,False,False,False,1,"(20, 30]",int,1,3442,3442,89500,89500,1.00,2021,M01,W02,f25b1,Berruguete f25b1
Bellas Vistas,flat,False,True,False,False,1,"(40, 50]",int,1,1800,1800,90000,90000,2.00,2021,M01,W02,fe45b1,Bellas Vistas fe45b1
Bellas Vistas,flat,False,False,False,False,1,"(30, 40]",bj,1,2829,2829,99000,99000,1.00,2021,M01,W02,f35b1bj,Bellas Vistas f35b1bj
Bellas Vistas,flat,False,False,False,False,1,"(20, 30]",int,1,3030,3030,90900,90900,1.00,2021,M01,W02,f25b1,Bellas Vistas f25b1
Bellas Vistas,flat,False,False,True,False,1,"(50, 60]",int,1,1667,1667,90000,90000,2.00,2021,M01,W02,"flat_False_False_True_False_1_(50, 60]_int","Bellas Vistas flat_False_False_True_False_1_(50, 60]_int"
Bellas Vistas,flat,False,False,True,False,1,"(20, 30]",bj,1,3103,3103,90000,90000,0.00,2021,M01,W02,"flat_False_False_True_False_1_(20, 30]_bj","Bellas Vistas flat_False_False_True_False_1_(20, 30]_bj"
Amposta,flat,False,True,False,False,2,"(40, 50]",bj,1,1800,1800,90000,90000,2.00,2021,M01,W02,"flat_False_True_False_False_2_(40, 50]_bj","Amposta flat_False_True_False_False_2_(40, 50]_bj"
Amposta,flat,False,True,False,False,1,"(60, 70]",bj,1,1452,1452,90000,90000,2.00,2021,M01,W02,fe65b1bj,Amposta fe65b1bj
Amposta,flat,False,True,False,False,1,"(70, 80]",int,1,1338,1338,95000,95000,3.00,2021,M01,W02,fe75b1,Amposta fe75b1
Amposta,flat,False,False,False,False,1,"(50, 60]",int,1,1564,1564,82900,82900,2.00,2021,M01,W02,f55b1,Amposta f55b1
Ambroz,flat,False,True,False,False,1,"(50, 60]",bj,1,1509,1509,83000,83000,1.00,2021,M01,W02,fe55b1bj,Ambroz fe55b1bj
Ambroz,flat,False,True,False,False,1,"(40, 50]",int,1,2089,2089,94000,94000,1.00,2021,M01,W02,fe45b1,Ambroz fe45b1
Ambroz,flat,False,False,False,1.0,1,"(50, 60]",int,1,1754,1754,100000,100000,3.00,2021,M01,W02,"flat_False_False_False_1.0_1_(50, 60]_int","Ambroz flat_False_False_False_1.0_1_(50, 60]_int"
Ambroz,flat,False,False,False,False,1,"(50, 60]",int,1,1754,1754,100000,100000,3.00,2021,M01,W02,f55b1,Ambroz f55b1
Aluche,flat,False,True,False,False,1,"(70, 80]",int,1,1320,1320,99000,99000,2.00,2021,M01,W02,fe75b1,Aluche fe75b1
Aluche,flat,False,False,False,False,1,"(70, 80]",int,1,1250,1250,90000,90000,2.00,2021,M01,W02,f75b1,Aluche f75b1
Aluche,flat,False,False,False,False,1,"(40, 50]",int,1,1989,1989,89500,89500,2.00,2021,M01,W02,f45b1,Aluche f45b1
Entrevias,flat,False,False,False,False,1,"(40, 50]",int,1,2179,2179,91500,91500,1.00,2021,M01,W02,f45b1,Entrevias f45b1
Entrevias,flat,False,False,False,False,1,"(60, 70]",bj,1,1143,1143,80000,80000,3.00,2021,M01,W02,f65b1bj,Entrevias f65b1bj
Entrevias,flat,False,False,False,False,1,"(70, 80]",bj,1,1160,1160,87000,87000,2.00,2021,M01,W02,f75b1bj,Entrevias f75b1bj
Numancia,flat,False,True,False,False,1,"(60, 70]",int,1,1471,1471,100000,100000,3.00,2021,M01,W02,fe65b1,Numancia fe65b1
